T;i;t;l;e
P;r;i;c;e
G;e;a;r;b;o;x
L;i;n;k
Продам автомобіль;740 434 грн.Договірна;1995  - 700 000 км;https://www.olx.ua//d/uk/obyavlenie/prodam-avtomobl-IDU2bBq.html
Ford Fusion 2019 гібрид;522 438 грн.Договірна;2019  - 68 тис.км.;https://www.olx.ua//d/uk/obyavlenie/ford-fusion-2019-gbrid-IDUoEqd.html
Mazda B2500 pick-up 4x4;206 720 грн.;2003  - 170 тис.км.;https://www.olx.ua//d/uk/obyavlenie/mazda-b2500-pick-up-4x4-IDUoQDs.html
Ford Focus Salon Polska/ Fv23%/ Gwarancja Serwisowa/ 47 886 Netto;551 931 грн.;2019  - 194 381 km;https://www.olx.ua/https://www.otomoto.pl/oferta/ford-focus-salon-polska-fv23-gwarancja-serwisowa-47886-netto-ID6GbrhZ.html
Opel Corsa;233 320 грн.;2017  - 44 173 km;https://www.olx.ua/https://www.otomoto.pl/oferta/opel-corsa-ID6GbMDb.html
Опель Зафіра продам;139 066 грн.;1999 ;https://www.olx.ua//d/uk/obyavlenie/opel-zafra-prodam-IDUrikc.html
Продам газель Соболь 2000 рік.;78 930 грн.Договірна;2000  - 97 тис.км.;https://www.olx.ua//d/uk/obyavlenie/prodam-gazel-sobol-2000-rk-IDUrik0.html
Продам бмв е46.2.0 д;45 103 грн.;1998 ;https://www.olx.ua//d/uk/obyavlenie/prodam-bmv-e46-2-0-d-IDUrijD.html
Опель Тигра, кабриолет;169 135 грн.;2005  - 198 тис.км.;https://www.olx.ua//d/uk/obyavlenie/opel-tigra-kabriolet-IDUriiH.html
Фольцваген тігуан;342 028 грн.Договірна;2012  - 228 тис.км.;https://www.olx.ua//d/uk/obyavlenie/foltsvagen-tguan-IDUrihX.html
Продам Ваз 2106.;11 000 грн.Договірна;1979  - 350 тис.км.;https://www.olx.ua//d/uk/obyavlenie/prodam-vaz-2106-IDUrieA.html
Саморобний трактор;60 000 грн.Договірна;2010  - 40 км;https://www.olx.ua//d/uk/obyavlenie/samorobniy-traktor-IDUrief.html
Futong tourer 250. Два одним лотом.;20 672 грн.;2004 ;https://www.olx.ua//d/uk/obyavlenie/futong-tourer-250-dva-odnim-lotom-IDUrhXn.html
Продам BMW 3 f30 2.0 2012 Официальная;469 819 грн.;2012  - 230 тис.км.;https://www.olx.ua//d/uk/obyavlenie/prodam-bmw-3-f30-2-0-2012-ofitsialnaya-IDUmidJ.html
Мінітрактор 24к.с. Kentavr 244 SX Широкі шини Хіт продажів ДВ 244;237 540 грн.Договірна;2023  - 1 км;https://www.olx.ua//d/uk/obyavlenie/mntraktor-24k-s-kentavr-244-sx-shirok-shini-ht-prodazhv-dv-244-IDKEBVq.html
Прицеп легковой 2.05 м / 130 м Хамер Люкс (бакелитовый) для легкового;23 500 грн.Договірна;2022 ;https://www.olx.ua//d/uk/obyavlenie/pritsep-legkovoy-2-05-m-130-m-hamer-lyuks-bakelitovyy-dlya-legkovogo-IDA2FM4.html
Продам Honda CR-V 2.2d 2008;428 475 грн.;2008  - 176 тис.км.;https://www.olx.ua//d/uk/obyavlenie/prodam-honda-cr-v-2-2d-2008-IDUalzu.html
Volkswagen Passat B7 NMS USA 2.5;405 923 грн.Договірна;2012  - 270 тис.км.;https://www.olx.ua//d/uk/obyavlenie/volkswagen-passat-b7-nms-usa-2-5-IDUmqca.html
Honda hornet cb 600;124 032 грн.;2000 ;https://www.olx.ua//d/uk/obyavlenie/honda-hornet-cb-600-IDT4LX3.html
Продам срочно!!! Кайо 140сс;15 034 грн.;2014 ;https://www.olx.ua//d/uk/obyavlenie/prodam-srochno-kayo-140ss-IDSZZjA.html
Ford Mondeo 3 2.0 дизель 2003 року;110 877 грн.;2003 ;https://www.olx.ua//d/uk/obyavlenie/ford-mondeo-3-2-0-dizel-2003-roku-IDUnXde.html
Audi A6C5 продається;155 980 грн.Договірна;1998  - 514 тис.км.;https://www.olx.ua//d/uk/obyavlenie/audi-a6c5-prodatsya-IDTW2Dv.html
Daewoo Sens Газ-бензин;52 620 грн.;2005  - 213 тис.км.;https://www.olx.ua//d/uk/obyavlenie/daewoo-sens-gaz-benzin-IDUjt34.html
Продам Toyota Avensis Обмен;124 032 грн.Договірна;2001 ;https://www.olx.ua//d/uk/obyavlenie/prodam-toyota-avensis-obmen-IDSqQUG.html
Героскутер Like baik;3 000 грн.Договірна;2020 ;https://www.olx.ua//d/uk/obyavlenie/geroskuter-like-baik-IDTkVNG.html
МТЗ 82.1 Супер Стан;375 817 грн.;2004 ;https://www.olx.ua//d/uk/obyavlenie/mtz-82-1-super-stan-IDTR82W.html
Сівалка СЗ 5.4 Harvest 540;281 891 грн.;2016 ;https://www.olx.ua//d/uk/obyavlenie/svalka-sz-5-4-harvest-540-IDTh0TQ.html
Продам Mitsubishi outlander плагін-гібрид 2014;620 161 грн.Договірна;2014  - 220 тис.км.;https://www.olx.ua//d/uk/obyavlenie/prodam-mitsubishi-outlander-plagn-gbrid-2014-IDUpwCT.html
продам мерседес віто;52 620 грн.Договірна;2000 ;https://www.olx.ua//d/uk/obyavlenie/prodam-mersedes-vto-IDUqZya.html
Audi 80 B4 V6 2.6 супер состояние;150 342 грн.;1993  - 402 тис.км.;https://www.olx.ua//d/uk/obyavlenie/audi-80-b4-v6-2-6-super-sostoyanie-IDTYP6J.html
Продам Зил130 самосвал;180 410 грн.;1990 ;https://www.olx.ua//d/uk/obyavlenie/prodam-zil130-samosval-IDUp59x.html
BMW X5 E53 в хорошому стані!!;332 632 грн.Договірна;2002 ;https://www.olx.ua//d/uk/obyavlenie/bmw-x5-e53-v-horoshomu-stan-IDUq7K0.html
Продам Honda CRV 2007;402 165 грн.Договірна;2007  - 169 тис.км.;https://www.olx.ua//d/uk/obyavlenie/prodam-honda-crv-2007-IDTDfJN.html
Полуприцеп контейнеровоз зерновоз;300 684 грн.;2022 ;https://www.olx.ua//d/uk/obyavlenie/polupritsep-konteynerovoz-zernovoz-IDUhkrO.html
Продам авто;321 356 грн.;2007  - 77 тис.км.;https://www.olx.ua//d/uk/obyavlenie/prodam-avto-IDUjuRI.html
Продаю авто Hyundai Tucson 2008;383 372 грн.Договірна;2008  - 155 тис.км.;https://www.olx.ua//d/uk/obyavlenie/prodayu-avto-hyundai-tucson-2008-IDSeACb.html
Свой SUZUKI HAYABUSA 1340см3 , 2008 идеальный;394 648 грн.;2008 ;https://www.olx.ua//d/uk/obyavlenie/svoy-suzuki-hayabusa-1340sm3-2008-idealnyy-IDTcNC5.html
Продається Yamaha Majesty 250 із Японії;112 757 грн.;2014 ;https://www.olx.ua//d/uk/obyavlenie/prodatsya-yamaha-majesty-250-z-yapon-IDUnlUa.html
Продаж жатки Olimac drago;507 404 грн.;2008 ;https://www.olx.ua//d/uk/obyavlenie/prodazh-zhatki-olimac-drago-IDUnX5V.html
Тягач Renault Magnum DXi 440 2005 р. 1100000 км;432 233 грн.;2005 ;https://www.olx.ua//d/uk/obyavlenie/tyagach-renault-magnum-dxi-440-2005-r-1100000-km-IDNYF0y.html
Продам Опель вектра С;195 445 грн.;2003  - 349 тис.км.;https://www.olx.ua//d/uk/obyavlenie/prodam-opel-vektra-s-IDUo2uP.html
Електросамокат;9 500 грн.Договірна;2022 ;https://www.olx.ua//d/uk/obyavlenie/elektrosamokat-IDUctIy.html
Торговий прицеп-кіоск на колесах.;60 000 грн.Договірна;2010 ;https://www.olx.ua//d/uk/obyavlenie/torgoviy-pritsep-kosk-na-kolesah-IDSY8sA.html
Продам Renault Logan;161 618 грн.Договірна;2013  - 283 тис.км.;https://www.olx.ua//d/uk/obyavlenie/prodam-renault-logan-IDSumop.html
BMW e46 універсал;244 306 грн.;2000  - 277 тис.км.;https://www.olx.ua//d/uk/obyavlenie/bmw-e46-unversal-IDUambj.html
Продам власне авто Славуту;56 378 грн.Договірна;2006 ;https://www.olx.ua//d/uk/obyavlenie/prodam-vlasne-avto-slavutu-IDTW2yZ.html
Peugeot 3008 2010 рік 1,6D;323 235 грн.Договірна;2010  - 260 тис.км.;https://www.olx.ua//d/uk/obyavlenie/peugeot-3008-2010-rk-1-6d-IDU7f5Z.html
Продам полуприцеп с подвижным полом KRAKER 2007 г.в.;810 703 грн.;2007 ;https://www.olx.ua//d/uk/obyavlenie/prodam-polupritsep-s-podvizhnym-polom-kraker-2007-g-v-IDTqvVL.html
BMW i3 рест. Електромобіль;674 660 грн.;2017  - 85 тис.км.;https://www.olx.ua//d/uk/obyavlenie/bmw-i3-rest-elektromobl-IDUp59A.html
Прицеп новый 2.00м/1.20м/40см (Xaмep Люкc) ПГМФ-8302;23 000 грн.Договірна;2023 ;https://www.olx.ua//d/uk/obyavlenie/pritsep-novyy-2-00m-1-20m-40sm-xamep-lyukc-pgmf-8302-IDGpqNj.html
Olimac Drago 2009;608 000 грн.;2009 ;https://www.olx.ua//d/uk/obyavlenie/olimac-drago-2009-IDR4O7A.html
Продам манишу рено 19;67 654 грн.;1992  - 2 000 тис.км.;https://www.olx.ua//d/uk/obyavlenie/prodam-manishu-reno-19-IDUp5kK.html
;;;https://www.olx.ua/None
